Designator,Mid X,Mid Y,Rotation,Layer
C1,124.6,-84.8,270,T
C2,129.3,-103.9,270,T
C3,136.7,-104.6,180,T
C4,149.5,-115.675,180,T
C5,121.3,-109.2,0,T
C6,121.3,-116.1,0,T
C7,121.3,-122,0,T
C8,123.5,-129.4,90,T
C9,131.725,-132.625,90,T
C10,145.125,-132.625,90,T
C11,149.5,-120.7,180,T
C12,137.325,-132.6,90,T
C13,149.4,-109.3,180,T
C14,127.8,-103.9,270,T
C15,143.825,-139.4,270,T
C16,139.525,-139.4,270,T
C17,137.6,-157.275,180,T
C18,142.475,-157.275,180,T
C19,145.7,-139.4,270,T
C20,135.725,-139.375,270,T
C21,123,-139.4,270,T
C22,107,-94.9,90,T
C23,127.8,-91.2,270,T
C24,120.9,-129.4,270,T
C25,142.8,-132.625,270,T
C26,137.8,-84.9,270,T
C27,119.9,-95,270,T
C28,113.8,-114.8,270,T
C29,139.9,-100,270,T
C30,134.4,-91.2,270,T
C31,129.9,-100,270,T
C32,135.6,-71.5,90,T
C33,107,-100,90,T
C34,103.2,-114.9,270,T
C35,126.8,-71.5,90,T
C36,119.9,-100,90,T
C37,156.4,-95.3,270,T
C38,149.9,-90.8,90,T
C39,156.4,-90.8,90,T
C40,154.725,-103.3,270,T
C41,156.6,-103.3,270,T
C42,153.9,-90.9,90,T
C43,136.8,-60.1,360,T
C44,153.125,-103.3,90,T
C45,147.8,-56.2,90,T
C46,103.2,-119.8,270,T
C47,112.7,-91.9,180,T
C48,151.7,-90.8,90,T
C49,109,-84.9,90,T
C50,119,-84.9,90,T
C51,115,-71.5,270,T
C52,113.1,-71.5,270,T
C53,140.4,-52.7,270,T
C54,136.6,-55.1,180,T
C55,157.7,-57,90,T
C56,122.4,-71.5,270,T
C57,108.9,-57.6,270,T
C58,103.9,-54.9,180,T
C59,131.2,-84.9,270,T
C60,147.8,-80.4,90,T
C61,144.2,-65.8,360,T
C62,136.8,-65.8,180,T
D1,136.6,-52.1,180,T
D2,144.4,-61.7,180,T
D3,108.9,-52.1,180,T
D4,103.9,-57.7,90,T
J6,156,-154,90,T
L1,152.3,-54.9,90,T
L2,132,-65.8,90,T
R1,105.6,-124.3,180,T
R2,126.2,-84.9,270,T
R3,101.7,-94.9,270,T
R4,105.3,-94.9,90,T
R5,111,-126.1,0,T
R6,111,-124.3,180,T
R7,105.6,-126.1,180,T
R8,129.6,-84.9,270,T
R9,127.9,-84.9,270,T
R10,103.5,-94.9,90,T
R11,136.2,-84.9,270,T
R12,125.1,-95,270,T
R13,123.4,-95,270,T
R14,132.8,-84.9,270,T
R15,134.5,-84.9,270,T
R16,110.9,-107.8,180,T
R17,110.9,-111.4,180,T
R18,121.6,-95,90,T
R19,110.9,-109.6,0,T
R20,133.65,-71.55,90,T
R21,101.7,-100,90,T
R22,105.3,-100,90,T
R23,105.8,-107.8,0,T
R24,105.8,-111.4,0,T
R25,142.8,-74.6,90,T
R26,103.5,-100,90,T
R27,105.8,-109.6,180,T
R28,141,-74.6,90,T
R29,144.6,-74.6,270,T
R30,128.7,-71.5,90,T
R31,142.8,-88,270,T
R32,125.2,-100,90,T
R33,121.6,-100,90,T
R34,141,-88,270,T
R35,123.4,-100,90,T
R36,144.6,-88,90,T
R37,118.4,-71.5,90,T
R38,109.6,-71.5,90,T
R39,112.4,-84.9,270,T
R40,115.5,-84.9,270,T
R41,110.7,-84.9,90,T
R42,117.3,-84.9,90,T
R43,116.7,-71.5,270,T
R44,111.4,-71.5,270,T
R45,120.7,-71.5,270,T
R46,103.9,-53,180,T
U1,113.3,-97.6,180,T
U2,131.15,-77.9,0,T
U3,108.5,-117.9,270,T
U4,135.025,-149.025,270,T
U5,135.025,-117.925,180,T
U6,142.75,-81.1,180,T
U7,113.95,-78.1,270,T
U8,151.525,-97.3,180,T
U9,144.3,-56.3,270,T
U10,151.8,-64.5,270,T
Y1,134.9,-100,0,T
