"Comment","Designator","Footprint","LCSC Part #"
"100pF","C1, C26, C32, C35, ","C_0603_HandSoldering","C14858"
"100nF","C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C37, C38, C40, C44, C53, C58, ","C_0603_HandSoldering","C14663"
"1.5nF","C22, C27, C28, C33, C34, C36, ","C_0603_HandSoldering","C1595"
"1nF","C23, C30, ","C_0603_HandSoldering","C1588"
"2.2uF","C24, C25, C42, C46, C48, C59, C60, ","C_0603_HandSoldering","C23630"
"30pF","C29, C31, ","C_0603_HandSoldering","C22397"
"10uF","C39, C41, C47, ","C_0805","C15850 "
"47uF","C43, C61, ","CP_Elec_5x5.8","C134798"
"10nF","C45, C56, ","C_0603_HandSoldering","C57112"
"560pF","C49, C50, C51, C52, ","C_0603_HandSoldering","C84721"
"22uF","C57, C62, ","CP_Elec_4x5.8","C134793"
"1N5819","D1, D2, D3, ","D_SOD-123","C8598"
"LM4040DBZ-5","D4, ","SOT-23","C156291"
"L","L2, ","L_0805_HandSoldering","C1046"
"75k","R1, ","R_0603_HandSoldering","C23242 "
"47k","R2, R6, R7, R10, R11, R18, R22, R24, R33, ","R_0603_HandSoldering","C25819"
"20k","R3, R12, ","R_0603_HandSoldering","C4184 "
"6k8","R4, R13, ","R_0603_HandSoldering","C23212 "
"91k","R5, R16, ","R_0603_HandSoldering","C23265"
"2k2","R8, R14, R46, ","R_0603_HandSoldering","C4190"
"10k","R9, R15, R25, R28, R31, R34, ","R_0603_HandSoldering","C25804"
"56k","R17, ","R_0603_HandSoldering","C23206"
"100k","R19, R26, R27, R35, ","R_0603_HandSoldering","C25803"
"30k","R20, R30, R37, R38, R39, R40, ","R_0603_HandSoldering","C22984"
"68k","R21, R23, R32, ","R_0603_HandSoldering","C23231"
"1k","R29, R36, ","R_0603_HandSoldering","C21190"
"510R","R41, R42, R43, R44, ","R_0603_HandSoldering","C23193"
"100R","R45, ","R_0603_HandSoldering","C22775"
"MCP6004","U1, U3, ","SOIC-14_N","C116668"
"TL074","U2, ","SOIC-14_N","C6964"
"IS42S16800F-7TLI","U4, ","TSOP-II-54_22.2x10.16mm_P0.8mm","C91278"
"STM32H743ZITx","U5, ","LQFP-144_20x20mm_P0.5mm","C114408"
"TL072","U6, ","SOIC-8_3.9x4.9mm_Pitch1.27mm","C6961"
"PCM5100APW","U8, ","SSOP-20_4.4x6.5mm_Pitch0.65mm_Round_Pads","C131154"
"LM2675M-5","U9, ","SOIC-8_3.9x4.9mm_Pitch1.27mm","C180371"
"8MHz 20pF","Y1, ","Crystal_SMD_5032-2pin_5.0x3.2mm_HandSoldering","C115962"
