"Comment","Designator","Footprint","LCSC Part #"
"100nF","C1, C5, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C19, C20, C21, C24, C25, C26, C35, C37, C38, C42, C44, C46, ","C_0603_HandSoldering","C14663"
"30pF","C2, C3, ","C_0603_HandSoldering","C22397"
"2.2uF","C4, C6, C31, C33, ","C_0805","C49217"
"560pF","C18, C23, C27, C28, ","C_0603_HandSoldering","C84721"
"10uF","C22, C43, ","C_0805","C15850 "
"1.5nF","C29, C30, C32, C34, C45, ","C_0603_HandSoldering","C1595"
"10uF","C36, ","CP_Elec_3x5.3","C249452"
"47uF","C41, ","CP_Elec_5x5.3","C134798"
"1nF","C47, C48, ","C_0805","C46653 "
"100pF","C49, C50, C51, C52, ","C_0805","C1790 "
"LM4040DBZ-5","D2, ","SOT-23","C69316"
"1N5819","D3, D4, ","D_SOD-123","C169540"
"L","L1, ","L_0805_HandSoldering","C1046"
"30k","R1, R2, R10, R14, R18, R19, ","R_0603_HandSoldering","C22984"
"510R","R3, R15, R16, R17, ","R_0603_HandSoldering","C23193"
"91k","R4, R30, ","R_0603_HandSoldering","C23265"
"100k","R5, R24, R26, ","R_0603_HandSoldering","C25803"
"20k","R6, R8, ","R_0603_HandSoldering","C4184 "
"47k","R7, R9, R27, R28, R31, R34, ","R_0603_HandSoldering","C25819"
"56k","R11, ","R_0603_HandSoldering","C23206"
"6k8","R12, R13, ","R_0603_HandSoldering","C23212 "
"1k","R20, R21, R42, R43, ","R_0603_HandSoldering","C21190"
"2k2","R22, R36, R37, ","R_0603_HandSoldering","C4190"
"68k","R23, R25, ","R_0603_HandSoldering","C23231"
"75k","R29, ","R_0603_HandSoldering","C23242 "
"330R","R32, R33, ","R_0603_HandSoldering","C23138"
"10k","R38, R39, ","R_0603_HandSoldering","C25804"
"33k","R40, R41, ","R_0603_HandSoldering","C4216 "
"STM32H743ZITx","U1, ","LQFP-144_20x20mm_P0.5mm","C114408"
"IS42S16400J-xC","U2, ","TSOP-II-54_22.2x10.16mm_P0.8mm","C69411"
"PCM5100APW","U3, ","SSOP-20_4.4x6.5mm_Pitch0.65mm_Round_Pads","C131154"
"MCP6004","U5, U6, ","SOIC-14_N","C7378"
"TL074","U7, ","SOIC-14_N","C6964"
"LM1117-3.3","U8, ","SOT-223","C6186"
